Time,Code,Company,Title,PDF_Link,XBRL_Link,PDF_Text
19:30,54010,日本製鉄                  ,（開示事項の変更）当社子会社による自己株式の消却の中止に関するお知らせ,140120250408510675.pdf,,"2025年４月８日
各 位
会社名 日本製鉄株式会社
代表者名 代表取締役社長 兼 ＣＯＯ 今井 正
（コード番号 5401 東証プライム、名証、福証、札証）
問合せ先 コーポレートコミュニケーション部広報室
（TEL. 03-6867-2135､2141､2146）
（開示事項の変更）当社子会社による自己株式の消却の中止に関するお知らせ
当社連結子会社である大阪製鐵株式会社は、2025年１月31日付「当社子会社による自己株式
の公開付け及び当社による応募に関するお知らせ」で公表していた 2025 年４月 15 日を効力発
生日とする自己株式の消却を中止することを決定しましたので、別紙のとおりお知らせ致しま
す。
※本件に関する詳細は、2025年１月31日付「当社子会社による自己株式の公開付け及び当社
による応募に関するお知らせ」をご参照ください（2025年２月14日、同年３月18日に経過
開示）。
以 上
（別紙）
2025年４月８日
各 位
会 社 名 大 阪 製 鐵株 式 会 社
代表者名 代表取締役社長 谷 潤一
（コード番号5449 東証スタンダード）
問合せ先 総 務 部 長 森 公良
（ 電 話 0 6 - 6 2 0 4 - 0 3 0 0 ）
自己株式の消却の中止に関するお知らせ
当社は、2025年1月31日付で公表した「自己株式の取得及び自己株式の公開買付け並びに自己株式の消却
に関するお知らせ」（以下「2025年1月31日付けプレスリリース」といいます。）にて公表いたしましたとお
り、2025年１月31日開催の取締役会において、会社法第178条の規定に基づき、自己株式の公開買付け（以
下「本公開買付け」といいます。）により当社が取得する普通株式を含めて自己株式12,360,699株（以下「本
自己株式」といいます。）を、2025年４月15日を効力発生日として消却することを決議しておりました。
今般、2025年３月31日時点の当社の株主名簿等を踏まえて検討した結果、本自己株式の消却の実施時期を
再考することが適当と判断し、本日付けの取締役会決議により、2025年４月15日を効力発生日とする本自己
株式の消却を中止する旨を決定いたしましたので、以下のとおりお知らせいたします。
１．2025年４月15日を効力発生日とする本自己株式の消却の中止の理由
2025年1月31日付けプレスリリースに記載のとおり、当社は、当社の資本効率を向上させ、かつ、流通
株式比率の向上を図るための施策（注１）として、本公開買付けを行うとともに、本公開買付けにおける買
付予定数に相当する株式数（9,000,000 株）を取得することを条件として、本自己株式を消却することを決
議いたしました。
（注１）当社の普通株式（以下「当社株式」といいます。）が上場している株式会社東京証券取引所（以下
「東京証券取引所」といいます。）スタンダード市場においては、その上場維持基準として流通株式
比率が25％以上であることが定められており（有価証券上場規程第501条第１項第１号b(c)）、こ
の流通株式比率の計算に当たって、上場会社の株式数の10％以上を所有する者又は組合等の株式は、
有価証券上場規程施行規則第８条第２項各号に掲げる有価証券に該当しない場合には、流通株式（有
価証券上場規程第２条第96号に規定する流通株式をいいます。以下同じです。）に該当しないもの
とされています（有価証券上場規程第２条第96号、同施行規則第８条第１項第２号）。
当社株式の流通株式比率は、2024年３月末時点で28.40％（小数点以下第三位を四捨五入）であ
ったところ、その後、株式会社ストラテジックキャピタル（以下「SC」といいます。）が運営するフ
ァンドであるINTERTRUST TRUSTEES（CAYMAN） LIMITED SOLELY IN ITS CAPACITY AS TRUSTEE OF
JAPAN-UP（以下「SCファンド」といいます。）が当社株式の追加取得を行い、SCファンドが所有す
る当社株式（以下「SCファンド所有株式」といいます。）が当社の発行済株式総数の10％以上とな
ったため、有価証券上場規程施行規則第８条第２項各号に掲げる有価証券に該当しない限り、SCフ
ァンド所有株式が流通株式に該当しない状況となりました。
SC ファンド所有株式が流通株式に該当しない場合には、当社株式の流通株式比率が 25％未満と
なり、東京証券取引所スタンダード市場の上場維持基準を充足しないこととなるおそれがあったた
め、流通株式比率の向上をその目的の一つとして、本公開買付けを行うことを決議したものです。
1
その後、当社は、SCから、2025年２月７日付けで、2025年１月31 日付けプレスリリースの公表後にSC
が当社株式を買い増した結果、2025年２月６日時点でSCファンド所有株式が5,946,100株（株式保有割合
（注２）：14.06％）に至った旨、また、この結果、当社が本公開買付け及び当社株式の消却を行ったとして
も当社株式は東京証券取引所スタンダード市場の上場維持基準を充足せず、本公開買付けの主たる目的が消
失したものと認識しており、本公開買付けを撤回する又は日本製鉄株式会社に対して本公開買付けに応募し
ないよう働きかける等の対応を行っていただきたい旨の書簡を受領しました。
（注２）「株式保有割合」とは、当社が2025年１月31日に公表した「2025年３月期 第３四半期決算短
信〔日本基準〕（連結）」に記載の2024年12月31日現在の当社の発行済株式総数42,279,982株に
対する割合（小数点以下第三位を四捨五入）をいいます。
当社は、上記書簡にかかわらず、以下の点から、2025年１月31 日開催の取締役会決議のとおり、本公開
買付けを実施することが適切と考えました。
 本公開買付けの目的の一つである資本効率の向上については、東京証券取引所スタンダード市場の上
場維持基準の充足の可否にかかわらず、本公開買付けの実施によって実現可能であること。
 当社株式の流通株式比率については、仮に本公開買付けの実施及び当社株式の消却によって東京証券
取引所スタンダード市場の上場維持基準を充足することができなかったとしても、本公開買付けの実
施及び当社株式の消却によって当社株式の流通株式比率が向上することに変わりはなく、今後、当社
株式が東京証券取引所スタンダード市場の上場維持基準を充足するためには、本公開買付けの実施が
有効であること。
以上の背景及び理由に基づき、当社は、2025 年２月17 日から本公開買付けを開始し、その結果、買付予
定数に相当する株式数（9,000,000株）の応募がなされ、2025年3月18日付け「自己株式の公開買付けの結
果及び取得終了に関するお知らせ」にて公表したとおり、本公開買付けが成立したことを確認いたしました。
その上で、当社は、本公開買付けに応募された当社株式を含む本自己株式を2025年４月15日に消却すべ
きか否かについて、2025年3月18日以降、本公開買付けの結果を踏まえて検討しておりました。さらに、
今般、2025年３月31日時点の当社の株主名簿を踏まえ、当社において現時点で本自己株式の消却を実施す
べきか否かを検討した結果、以下の理由により、現時点で本自己株式の消却を実施するのではなく、本自己
株式の消却の実施時期を再考することが適当と判断するに至りました。
 本公開買付けの目的の一つである資本効率の向上については、本公開買付けの実施によって実現され
ており、本自己株式の消却を延期することによって当該目的の達成が妨げられるものではないこと。
 本公開買付けの目的の一つである流通株式比率の向上については、本自己株式の消却を実施すること
によって達成されるものである一方、本自己株式の消却は当社の判断により随時実施することが可能
であり、2025年４月15日時点で本自己株式の消却を実施したとしても、SCファンド所有株式が流通
株式に該当しない限り、2025年３月31日時点における当社株式の流通株式比率は、東京証券取引所
スタンダード市場の上場維持基準である25％以上とならないことを踏まえると、2025年４月15日時
点で本自己株式の消却を実施する必要性は低いこと。
 SC ファンド所有株式が流通株式に該当するか否かは、SCファンドのファンド構造等によるところ、
本日現在においても、当社においてSC ファンドのファンド構造等は明らかとなっておらず、本自己
株式の消却の実施時期については、SC ファンド所有株式が流通株式に該当するか否か等の事情も踏
まえて検討することが適当であること。
以上を踏まえ、当社は、本日付けの取締役会決議により、2025 年４月15 日を効力発生日とする本自己株
式の消却を中止する旨を決定いたしました。
２．今後の見通し
本自己株式の消却の実施時期については、引き続き検討してまいりますが、現時点においては未定であり、
開示すべき事実が決定された場合には、速やかにお知らせいたします。
以 上
2"
19:30,54490,大阪製鉄                  ,自己株式の消却の中止に関するお知らせ,140120250408510529.pdf,,"2025年４月８日
各 位
会 社 名 大 阪 製 鐵株 式 会 社
代表者名 代表取締役社長 谷 潤一
（コード番号5449 東証スタンダード）
問合せ先 総 務 部 長 森 公良
（ 電 話 0 6 - 6 2 0 4 - 0 3 0 0 ）
自己株式の消却の中止に関するお知らせ
当社は、2025年1月31日付で公表した「自己株式の取得及び自己株式の公開買付け並びに自己株式の消却
に関するお知らせ」（以下「2025年1月31日付けプレスリリース」といいます。）にて公表いたしましたとお
り、2025年１月31日開催の取締役会において、会社法第178条の規定に基づき、自己株式の公開買付け（以
下「本公開買付け」といいます。）により当社が取得する普通株式を含めて自己株式12,360,699株（以下「本
自己株式」といいます。）を、2025年４月15日を効力発生日として消却することを決議しておりました。
今般、2025年３月31日時点の当社の株主名簿等を踏まえて検討した結果、本自己株式の消却の実施時期を
再考することが適当と判断し、本日付けの取締役会決議により、2025年４月15日を効力発生日とする本自己
株式の消却を中止する旨を決定いたしましたので、以下のとおりお知らせいたします。
１．2025年４月15日を効力発生日とする本自己株式の消却の中止の理由
2025年1月31日付けプレスリリースに記載のとおり、当社は、当社の資本効率を向上させ、かつ、流通
株式比率の向上を図るための施策（注１）として、本公開買付けを行うとともに、本公開買付けにおける買
付予定数に相当する株式数（9,000,000 株）を取得することを条件として、本自己株式を消却することを決
議いたしました。
（注１）当社の普通株式（以下「当社株式」といいます。）が上場している株式会社東京証券取引所（以下
「東京証券取引所」といいます。）スタンダード市場においては、その上場維持基準として流通株式
比率が25％以上であることが定められており（有価証券上場規程第501条第１項第１号b(c)）、こ
の流通株式比率の計算に当たって、上場会社の株式数の10％以上を所有する者又は組合等の株式は、
有価証券上場規程施行規則第８条第２項各号に掲げる有価証券に該当しない場合には、流通株式（有
価証券上場規程第２条第96号に規定する流通株式をいいます。以下同じです。）に該当しないもの
とされています（有価証券上場規程第２条第96号、同施行規則第８条第１項第２号）。
当社株式の流通株式比率は、2024年３月末時点で28.40％（小数点以下第三位を四捨五入）であ
ったところ、その後、株式会社ストラテジックキャピタル（以下「SC」といいます。）が運営するフ
ァンドであるINTERTRUST TRUSTEES（CAYMAN） LIMITED SOLELY IN ITS CAPACITY AS TRUSTEE OF
JAPAN-UP（以下「SCファンド」といいます。）が当社株式の追加取得を行い、SCファンドが所有す
る当社株式（以下「SCファンド所有株式」といいます。）が当社の発行済株式総数の10％以上とな
ったため、有価証券上場規程施行規則第８条第２項各号に掲げる有価証券に該当しない限り、SCフ
ァンド所有株式が流通株式に該当しない状況となりました。
SC ファンド所有株式が流通株式に該当しない場合には、当社株式の流通株式比率が 25％未満と
なり、東京証券取引所スタンダード市場の上場維持基準を充足しないこととなるおそれがあったた
め、流通株式比率の向上をその目的の一つとして、本公開買付けを行うことを決議したものです。
1
その後、当社は、SCから、2025年２月７日付けで、2025年１月31 日付けプレスリリースの公表後にSC
が当社株式を買い増した結果、2025年２月６日時点でSCファンド所有株式が5,946,100株（株式保有割合
（注２）：14.06％）に至った旨、また、この結果、当社が本公開買付け及び当社株式の消却を行ったとして
も当社株式は東京証券取引所スタンダード市場の上場維持基準を充足せず、本公開買付けの主たる目的が消
失したものと認識しており、本公開買付けを撤回する又は日本製鉄株式会社に対して本公開買付けに応募し
ないよう働きかける等の対応を行っていただきたい旨の書簡を受領しました。
（注２）「株式保有割合」とは、当社が2025年１月31日に公表した「2025年３月期 第３四半期決算短
信〔日本基準〕（連結）」に記載の2024年12月31日現在の当社の発行済株式総数42,279,982株に
対する割合（小数点以下第三位を四捨五入）をいいます。
当社は、上記書簡にかかわらず、以下の点から、2025年１月31日開催の取締役会決議のとおり、本公開
買付けを実施することが適切と考えました。
 本公開買付けの目的の一つである資本効率の向上については、東京証券取引所スタンダード市場の上
場維持基準の充足の可否にかかわらず、本公開買付けの実施によって実現可能であること。
 当社株式の流通株式比率については、仮に本公開買付けの実施及び当社株式の消却によって東京証券
取引所スタンダード市場の上場維持基準を充足することができなかったとしても、本公開買付けの実
施及び当社株式の消却によって当社株式の流通株式比率が向上することに変わりはなく、今後、当社
株式が東京証券取引所スタンダード市場の上場維持基準を充足するためには、本公開買付けの実施が
有効であること。
以上の背景及び理由に基づき、当社は、2025年２月17日から本公開買付けを開始し、その結果、買付予
定数に相当する株式数（9,000,000株）の応募がなされ、2025年3月18日付け「自己株式の公開買付けの結
果及び取得終了に関するお知らせ」にて公表したとおり、本公開買付けが成立したことを確認いたしました。
その上で、当社は、本公開買付けに応募された当社株式を含む本自己株式を2025年４月15日に消却すべ
きか否かについて、2025年3月18日以降、本公開買付けの結果を踏まえて検討しておりました。さらに、
今般、2025年３月31日時点の当社の株主名簿を踏まえ、当社において現時点で本自己株式の消却を実施す
べきか否かを検討した結果、以下の理由により、現時点で本自己株式の消却を実施するのではなく、本自己
株式の消却の実施時期を再考することが適当と判断するに至りました。
 本公開買付けの目的の一つである資本効率の向上については、本公開買付けの実施によって実現され
ており、本自己株式の消却を延期することによって当該目的の達成が妨げられるものではないこと。
 本公開買付けの目的の一つである流通株式比率の向上については、本自己株式の消却を実施すること
によって達成されるものである一方、本自己株式の消却は当社の判断により随時実施することが可能
であり、2025年４月15日時点で本自己株式の消却を実施したとしても、SCファンド所有株式が流通
株式に該当しない限り、2025年３月31日時点における当社株式の流通株式比率は、東京証券取引所
スタンダード市場の上場維持基準である25％以上とならないことを踏まえると、2025年４月15日時
点で本自己株式の消却を実施する必要性は低いこと。
 SCファンド所有株式が流通株式に該当するか否かは、SCファンドのファンド構造等によるところ、
本日現在においても、当社においてSC ファンドのファンド構造等は明らかとなっておらず、本自己
株式の消却の実施時期については、SC ファンド所有株式が流通株式に該当するか否か等の事情も踏
まえて検討することが適当であること。
以上を踏まえ、当社は、本日付けの取締役会決議により、2025年４月15日を効力発生日とする本自己株
式の消却を中止する旨を決定いたしました。
２．今後の見通し
本自己株式の消却の実施時期については、引き続き検討してまいりますが、現時点においては未定であり、
開示すべき事実が決定された場合には、速やかにお知らせいたします。
以 上
2"
19:10,13990,上場高配当低ボラ      ,ＥＴＦの収益分配のお知らせ,140120250408511088.pdf,,"2025年4月8日
各 位
委託会社名 日興アセットマネジメント株式会社
代表者名 代表取締役社長 ステファニー・ドゥルーズ
問い合せ先 ＥＴＦビジネス開発部 花村憲治
（TEL. 050－5785－6306）
ＥＴＦの収益分配のお知らせ
ＥＴＦに係る収益分配について、下記のとおり確定いたしましたのでご通知いたします。
記
1. 当計算期間の終了日
2025年4月8日
2. 収益分配金額
計算期間：2025年1月9日～2025年4月8日
銘柄名 収益分配金額
（コード）
上場インデックスファンドMSCI日本株高配当低ボラティリ 1口につき 30 円 30 銭
ティ(1399) （ 10口につき 303 円 ）
上場インデックスファンドMSCI日本株高配当低ボラティリ 1口につき 86 円 40 銭
ティ（βヘッジ）(1490) （ 10口につき 864 円 ）
上場インデックスファンド日本高配当（東証配当フォーカ 1口につき 28 円 30 銭
ス100）(1698)※ （ 10口につき 283 円 ）
上場インデックスファンド日経ESGリート(2566) 1口につき 13 円 00 銭
（ 10口につき 130 円 ）
※2025年4月4日付「ＥＴＦの収益分配金見込額のお知らせ」に記載の見込額から
変更になっております。
計算期間：2025年2月9日～2025年4月8日
銘柄名 収益分配金額
（コード）
上場インデックスファンドＪリート（東証ＲＥＩＴ指数） 1口につき 17 円 00 銭
隔月分配型（ミニ）(2552) （ 1口につき 17 円 ）
3. 収益分配金支払開始予定日
2025年5月16日
4. 収益分配金支払事務に関するお問い合わせ先
収益分配金のお支払いに関するお問い合わせは、各受託銀行までお願いいたします。
（銘柄によってお問い合わせ先が異なりますので、ご留意ください。）
銘柄名 お問い合わせ先
（コード） （お電話番号）
上場インデックスファンドMSCI日本株高配当低ボラティリ
ティ(1399)
上場インデックスファンドMSCI日本株高配当低ボラティリ
ティ（βヘッジ）(1490)
三井住友信託銀行
上場インデックスファンド日本高配当（東証配当フォーカ
証券代行部
ス100）(1698)
（0120-782-031）
上場インデックスファンドＪリート（東証ＲＥＩＴ指数）
隔月分配型（ミニ）(2552)
上場インデックスファンド日経ESGリート(2566)
以 上"
19:10,14900,上場ベータヘッジ      ,ＥＴＦの収益分配のお知らせ,140120250408511089.pdf,,"2025年4月8日
各 位
委託会社名 日興アセットマネジメント株式会社
代表者名 代表取締役社長 ステファニー・ドゥルーズ
問い合せ先 ＥＴＦビジネス開発部 花村憲治
（TEL. 050－5785－6306）
ＥＴＦの収益分配のお知らせ
ＥＴＦに係る収益分配について、下記のとおり確定いたしましたのでご通知いたします。
記
1. 当計算期間の終了日
2025年4月8日
2. 収益分配金額
計算期間：2025年1月9日～2025年4月8日
銘柄名 収益分配金額
（コード）
上場インデックスファンドMSCI日本株高配当低ボラティリ 1口につき 30 円 30 銭
ティ(1399) （ 10口につき 303 円 ）
上場インデックスファンドMSCI日本株高配当低ボラティリ 1口につき 86 円 40 銭
ティ（βヘッジ）(1490) （ 10口につき 864 円 ）
上場インデックスファンド日本高配当（東証配当フォーカ 1口につき 28 円 30 銭
ス100）(1698)※ （ 10口につき 283 円 ）
上場インデックスファンド日経ESGリート(2566) 1口につき 13 円 00 銭
（ 10口につき 130 円 ）
※2025年4月4日付「ＥＴＦの収益分配金見込額のお知らせ」に記載の見込額から
変更になっております。
計算期間：2025年2月9日～2025年4月8日
銘柄名 収益分配金額
（コード）
上場インデックスファンドＪリート（東証ＲＥＩＴ指数） 1口につき 17 円 00 銭
隔月分配型（ミニ）(2552) （ 1口につき 17 円 ）
3. 収益分配金支払開始予定日
2025年5月16日
4. 収益分配金支払事務に関するお問い合わせ先
収益分配金のお支払いに関するお問い合わせは、各受託銀行までお願いいたします。
（銘柄によってお問い合わせ先が異なりますので、ご留意ください。）
銘柄名 お問い合わせ先
（コード） （お電話番号）
上場インデックスファンドMSCI日本株高配当低ボラティリ
ティ(1399)
上場インデックスファンドMSCI日本株高配当低ボラティリ
ティ（βヘッジ）(1490)
三井住友信託銀行
上場インデックスファンド日本高配当（東証配当フォーカ
証券代行部
ス100）(1698)
（0120-782-031）
上場インデックスファンドＪリート（東証ＲＥＩＴ指数）
隔月分配型（ミニ）(2552)
上場インデックスファンド日経ESGリート(2566)
以 上"
19:10,16980,上場配当                  ,ＥＴＦの収益分配のお知らせ,140120250408511090.pdf,,"2025年4月8日
各 位
委託会社名 日興アセットマネジメント株式会社
代表者名 代表取締役社長 ステファニー・ドゥルーズ
問い合せ先 ＥＴＦビジネス開発部 花村憲治
（TEL. 050－5785－6306）
ＥＴＦの収益分配のお知らせ
ＥＴＦに係る収益分配について、下記のとおり確定いたしましたのでご通知いたします。
記
1. 当計算期間の終了日
2025年4月8日
2. 収益分配金額
計算期間：2025年1月9日～2025年4月8日
銘柄名 収益分配金額
（コード）
上場インデックスファンドMSCI日本株高配当低ボラティリ 1口につき 30 円 30 銭
ティ(1399) （ 10口につき 303 円 ）
上場インデックスファンドMSCI日本株高配当低ボラティリ 1口につき 86 円 40 銭
ティ（βヘッジ）(1490) （ 10口につき 864 円 ）
上場インデックスファンド日本高配当（東証配当フォーカ 1口につき 28 円 30 銭
ス100）(1698)※ （ 10口につき 283 円 ）
上場インデックスファンド日経ESGリート(2566) 1口につき 13 円 00 銭
（ 10口につき 130 円 ）
※2025年4月4日付「ＥＴＦの収益分配金見込額のお知らせ」に記載の見込額から
変更になっております。
計算期間：2025年2月9日～2025年4月8日
銘柄名 収益分配金額
（コード）
上場インデックスファンドＪリート（東証ＲＥＩＴ指数） 1口につき 17 円 00 銭
隔月分配型（ミニ）(2552) （ 1口につき 17 円 ）
3. 収益分配金支払開始予定日
2025年5月16日
4. 収益分配金支払事務に関するお問い合わせ先
収益分配金のお支払いに関するお問い合わせは、各受託銀行までお願いいたします。
（銘柄によってお問い合わせ先が異なりますので、ご留意ください。）
銘柄名 お問い合わせ先
（コード） （お電話番号）
上場インデックスファンドMSCI日本株高配当低ボラティリ
ティ(1399)
上場インデックスファンドMSCI日本株高配当低ボラティリ
ティ（βヘッジ）(1490)
三井住友信託銀行
上場インデックスファンド日本高配当（東証配当フォーカ
証券代行部
ス100）(1698)
（0120-782-031）
上場インデックスファンドＪリート（東証ＲＥＩＴ指数）
隔月分配型（ミニ）(2552)
上場インデックスファンド日経ESGリート(2566)
以 上"
19:10,25520,上場ＪリートＭ         ,ＥＴＦの収益分配のお知らせ,140120250408511091.pdf,,"2025年4月8日
各 位
委託会社名 日興アセットマネジメント株式会社
代表者名 代表取締役社長 ステファニー・ドゥルーズ
問い合せ先 ＥＴＦビジネス開発部 花村憲治
（TEL. 050－5785－6306）
ＥＴＦの収益分配のお知らせ
ＥＴＦに係る収益分配について、下記のとおり確定いたしましたのでご通知いたします。
記
1. 当計算期間の終了日
2025年4月8日
2. 収益分配金額
計算期間：2025年1月9日～2025年4月8日
銘柄名 収益分配金額
（コード）
上場インデックスファンドMSCI日本株高配当低ボラティリ 1口につき 30 円 30 銭
ティ(1399) （ 10口につき 303 円 ）
上場インデックスファンドMSCI日本株高配当低ボラティリ 1口につき 86 円 40 銭
ティ（βヘッジ）(1490) （ 10口につき 864 円 ）
上場インデックスファンド日本高配当（東証配当フォーカ 1口につき 28 円 30 銭
ス100）(1698)※ （ 10口につき 283 円 ）
上場インデックスファンド日経ESGリート(2566) 1口につき 13 円 00 銭
（ 10口につき 130 円 ）
※2025年4月4日付「ＥＴＦの収益分配金見込額のお知らせ」に記載の見込額から
変更になっております。
計算期間：2025年2月9日～2025年4月8日
銘柄名 収益分配金額
（コード）
上場インデックスファンドＪリート（東証ＲＥＩＴ指数） 1口につき 17 円 00 銭
隔月分配型（ミニ）(2552) （ 1口につき 17 円 ）
3. 収益分配金支払開始予定日
2025年5月16日
4. 収益分配金支払事務に関するお問い合わせ先
収益分配金のお支払いに関するお問い合わせは、各受託銀行までお願いいたします。
（銘柄によってお問い合わせ先が異なりますので、ご留意ください。）
銘柄名 お問い合わせ先
（コード） （お電話番号）
上場インデックスファンドMSCI日本株高配当低ボラティリ
ティ(1399)
上場インデックスファンドMSCI日本株高配当低ボラティリ
ティ（βヘッジ）(1490)
三井住友信託銀行
上場インデックスファンド日本高配当（東証配当フォーカ
証券代行部
ス100）(1698)
（0120-782-031）
上場インデックスファンドＪリート（東証ＲＥＩＴ指数）
隔月分配型（ミニ）(2552)
上場インデックスファンド日経ESGリート(2566)
以 上"
19:10,25660,上場ＥＳＧリート      ,ＥＴＦの収益分配のお知らせ,140120250408511092.pdf,,"2025年4月8日
各 位
委託会社名 日興アセットマネジメント株式会社
代表者名 代表取締役社長 ステファニー・ドゥルーズ
問い合せ先 ＥＴＦビジネス開発部 花村憲治
（TEL. 050－5785－6306）
ＥＴＦの収益分配のお知らせ
ＥＴＦに係る収益分配について、下記のとおり確定いたしましたのでご通知いたします。
記
1. 当計算期間の終了日
2025年4月8日
2. 収益分配金額
計算期間：2025年1月9日～2025年4月8日
銘柄名 収益分配金額
（コード）
上場インデックスファンドMSCI日本株高配当低ボラティリ 1口につき 30 円 30 銭
ティ(1399) （ 10口につき 303 円 ）
上場インデックスファンドMSCI日本株高配当低ボラティリ 1口につき 86 円 40 銭
ティ（βヘッジ）(1490) （ 10口につき 864 円 ）
上場インデックスファンド日本高配当（東証配当フォーカ 1口につき 28 円 30 銭
ス100）(1698)※ （ 10口につき 283 円 ）
上場インデックスファンド日経ESGリート(2566) 1口につき 13 円 00 銭
（ 10口につき 130 円 ）
※2025年4月4日付「ＥＴＦの収益分配金見込額のお知らせ」に記載の見込額から
変更になっております。
計算期間：2025年2月9日～2025年4月8日
銘柄名 収益分配金額
（コード）
上場インデックスファンドＪリート（東証ＲＥＩＴ指数） 1口につき 17 円 00 銭
隔月分配型（ミニ）(2552) （ 1口につき 17 円 ）
3. 収益分配金支払開始予定日
2025年5月16日
4. 収益分配金支払事務に関するお問い合わせ先
収益分配金のお支払いに関するお問い合わせは、各受託銀行までお願いいたします。
（銘柄によってお問い合わせ先が異なりますので、ご留意ください。）
銘柄名 お問い合わせ先
（コード） （お電話番号）
上場インデックスファンドMSCI日本株高配当低ボラティリ
ティ(1399)
上場インデックスファンドMSCI日本株高配当低ボラティリ
ティ（βヘッジ）(1490)
三井住友信託銀行
上場インデックスファンド日本高配当（東証配当フォーカ
証券代行部
ス100）(1698)
（0120-782-031）
上場インデックスファンドＪリート（東証ＲＥＩＴ指数）
隔月分配型（ミニ）(2552)
上場インデックスファンド日経ESGリート(2566)
以 上"
18:50,48940,Ｇ－クオリプス         ,ヒト(同種)iPS細胞由来心筋細胞シートの製造販売承認申請のお知らせ,140120250403507985.pdf,,"2025年4月8日
各 位
会 社 名 クオリプス株式会社
代表者名 代表取締役社長 草薙 尊之
（コード：4894、東証グロース市場）
問合せ先 取締役 管理本部長 谷村 忠幸
（cuo_ir@cuorips.co.jp）
ヒト(同種) iPS細胞由来心筋細胞シートの製造販売承認申請のお知らせ
クオリプス株式会社(以下、「当社」)は、虚血性心筋症による重症心不全を適応としたヒト(同
種) iPS細胞由来心筋細胞シート(以下、「心筋細胞シート」)の開発を進めてまいりましたが、
本日、厚生労働省に対し、再生医療等製品製造販売承認申請を行いましたので、お知らせいたし
ます。
心筋細胞シートは、2020年1月から2023年3月にかけて、大阪大学医学部附属病院を中心と
する4施設において、8例の医師主導治験が実施されました。当治験の結果をもとに、この度の
承認申請にいたりました。
当社は、患者様に一日も早く新たな治療法として心筋細胞シートを提供できるよう、規制当局
による審査等に迅速に対応し、承認取得を目指してまいります。
本件における当期連結業績に与える影響は軽微であります。
以 上"
18:30,74630,アドヴァングループ   ,剰余金の配当に関するお知らせ,140120250408510932.pdf,,"2025年4月8日
各 位
会 社 名 株式会社 ア ド ヴ ァ ン グ ル ー プ
本店所在地 東京都渋谷区神宮前4丁目32番14号
代表者名 代表取締役社長 末次 廣明
(コード番号７４６３ 東証スタンダード市場 )
( T E L：03－3475－0394 )
剰余金の配当に関するお知らせ
当社は、2025年4月8日開催の取締役会において、以下のとおり、2025年3月31日を基準
日とする剰余金の配当を行うことについて決議しましたので、お知らせいたします。
１．配当の内容
直近の配当予想 前期実績
決 定 額
（2024年4月15日公表） （2024年3月期）
基 準 日 2025年3月31日 同左 2024年3月31日
１株当たり
20円 同左 20円
配当金
配当金総額 710百万円 － 718百万円
効力発生日 2025年6月9日 － 2024年6月30日
配当原資 利益剰余金 － 利益剰余金
（注）2024年4月15日付公表の配当予想から変更はありません。
※配当実績は次のとおりであります。
１株当たり配当金（円）
基準日 第２四半期末 期 末 合 計
当期実績 20円 20円 40円
前期実績
20円 20円 40円
(2024年3月期)
以上"
18:30,74630,アドヴァングループ   ,2025年3月期通期業績予想と実績との差異に関するお知らせ,140120250408510921.pdf,,"2025年4月8日
各 位
会 社 名 株 式 会 社 ア ド ヴ ァ ン グ ル ー プ
本店所在地 東京都渋谷区神宮前4丁目32番14号
代表者名 代表取締役社長 末次 廣明
(コード番号７４６３ 東証スタンダード市場 )
( T E L：03－3475－0394 )
2025年3月期通期業績予想と実績との差異に関するお知らせ
当社は、2025年3 月期（2024年4 月1日から 2025 年3 月31日）において、2024年4月15
日公表の2025 年3月期通期業績予想と、本日公表の実績値に差異が生じましたので、お知らせ
いたします。
記
1. 業績予想と実績との差異について
2024 年 4 月15 日公表の 2025年 3 月期通期業績予想と、本日公表の実績値に差異が生じました
ので、お知らせいたします。
2025年3月期通期連結業績予想と実績値との差異（2024年4月1日～2025年3月31日）
売上高 営業利益 経常利益 親会社株主に 1株当たり
帰属する当期 当期純利益
純利益
百万円 百万円 百万円 百万円 円 銭
前回発表予想（A） 22,000 4,100 未定 未定 未定
実績値（B） 18,518 3,150 8,761 6,012 169.07
増減額（B－A） △3,481 △949 － －
増減率（%） △15.8％ △23.2％ － －
（ご参考）前期実績 20,302 3,939 16,194 10,299 278.86
（2024年3月期）
（差異の理由）
売上高につきましては、円安による仕入れコストの上昇に加え、職人不足、2024 年問題の影響も
あり一部の大型案件の工期の遅れや見直し等が影響したことなどによるものです。利益面についても、
売上高の減少に加え、仕入コストの増加などを要因として営業利益が減少しております。経常利益以
降については為替相場に影響を受けるため未定としておりましたが実績値は上記の通りになりまし
た。期末の洗い替え処理による為替予約評価益として2,441百万円（前年同期は9,543百万円の評価
益）を計上した結果、経常利益は 8,761 百万円（同 45.9％減）、親会社株主に帰属する当期純利益
は6,012百万円（同41.6％減）です。
以上"
